,,,,,,,,,,,,Tasting Notes,,,,,,,,,,,,,,,,,,,Adjective/Instensifiers,,,,,,,,,,Body,,
Name,Roaster,Process,Variety,Farm,Producer,Region,Country,Harvest_Start,Harvest_End,Elevation_Min,Elevation_Max,Floral,Citrus,Apple/Pear,Melon,Grape,Tropical Fruit,Stone Fruit,Berry,Dried Fruit,Chocolate,Sugary & Sweet,Nut,Grain & Cereal,Roast,Spice,Savory,Herb,Earthy,Vegetal,"Crisp, Bright, Vibrant, Tart","Muted, Dull, Mild","Wild, Unbalanced, Sharp, Pointed","Structured, Blanced, Rounded","Dense, Deep, Complex","Soft, Faint, Delicate",Juicy,"Dry, Astringent","Lingering, Dirty","Quick, Clean","Light (Watery, Tea-like, Silky, Slick, Juicy)","Medium (Smooth, 2% Milk, Syrupy, Round, Creamy)","Heavy (Full, Velvety, Big, Chewy, Coating)"
Mr. David Mburu,Coava,Washed,"Ruiru 11, SL 28, SL 34",Mburu,Mr. David Mburu Mwangi,Kiambu East District,Kenya,,,1900,1900,0,0,0,0,0,0,0,0,0,10,0,0,7,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,10,0
Finca Las Terrazas,Coava,Washed,"San Ramon, Bourbon, Caturra",Finca Las Terrazas,Renaldo Ovalle Vides,"La Libertad, Huehuetenango",GUATEMALA,,,1700,2100,0,0,0,10,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10
David Mancia,Coava,Washed,"Pacas, Catimor",David Mancia,David Mancia,Santa Barbara,Honduras,,,1600,1650,0,0,0,10,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0
Benjamin Miranda,Coava,Washed,Pacas,Benjamin Miranda,Benjamin Miranda,Santa Barbara,Honduras,,,1575,1650,0,0,0,0,0,0,5,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,5
Duncan Estate,Noble,Washed,Gesha,Duncan Estate,Ricardo Koyner,"Boquete, Chiriquí",Panama,,,,,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,5,10,0,0
Addisu Kidane,Noble,Natural,Ethiopia Heirloom,Worka co-op,Addisu Kidane,"Yirga Cheffe, Gedeo Zone",Ethiopia,,,1800,1900,0,10,0,10,0,0,0,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0
Shilcho,Noble,Washed,Ethiopia Heirloom,Shilcho,Shilcho Cooperative,Sidama,Ethiopia,,,1750,2000,10,0,0,0,0,0,5,10,0,0,5,0,0,0,5,0,0,0,5,0,0,0,0,0,10,0,0,0,0,10,0,0
Los Vascos,Noble,Washed,"Bourbon, caturra, catimor",Asotbilbao cooperative,Asotbilbao cooperative,"Bilbao, Tolima",Columbia,,,1650,1950,0,5,0,0,0,0,5,0,0,10,5,0,0,0,5,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0
EL INJERTO PACAMARA,Verve,Wet-Process,Pacamara,Finca El Injerto,ARTURO AGUIRRE AND ARTURO AGUIRRE JR,"LA LIBERTAD, HUEHUETENANGO",GUATEMALA,12,3,1650,1750,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0
Winrush Estate,Verve,Wet-Process,"SL28, SL24",Winrush Estate,Winrush Estate,Kiambu County,Kenya,1,2,1500,1600,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0
Layo Teraga,Verve,Wet-Process,Ethiopia Heirloom,Layo Teraga,Various Small Producers,Negele Borena,Ethiopia,11,3,1800,2300,0,10,0,0,0,10,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0
La Esperanza,Verve,Wet-Process,Bourbon,Finca La Esperanza,Aurelio Villatoro,"La Libertad, Huehuetenango",Guatemala,11,4,1700,1850,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0
