,Name,Variety,Value,Note,Note_Ind
84,Meaza,Ethiopia Heirloom,0.1,Melon,3
85,Bella Aurora,Caturra,0.1,Melon,3
86,EL ESCOBERO AUCTION LOT,Caturra,0.1,Melon,3
87,Kilenso,Ethiopia Heirloom,0.1,Melon,3
88,Mr. David Mburu,"Ruiru 11, SL 28, SL 34",0.1,Melon,3
89,Finca Las Terrazas,"San Ramon, Bourbon, Caturra",10,Melon,3
90,David Mancia,"Pacas, Catimor",10,Melon,3
91,Benjamin Miranda,Pacas,0.1,Melon,3
92,Duncan Estate,Gesha,0.1,Melon,3
93,Addisu Kidane,Ethiopia Heirloom,10,Melon,3
94,Shilcho,Ethiopia Heirloom,0.1,Melon,3
95,Los Vascos,"Bourbon, caturra, catimor",0.1,Melon,3
96,MONTEBLANCO BOURBON ROSA,Burbon Rosa,0.1,Grape,4
97,HUNAPU,Burbon,0.1,Grape,4
98,EL LIMONCILLO YELLOW PACAMARA,Yellow Pacamara,0.1,Grape,4
99,MERSHA ASSEFA,Ethiopia Heirloom,0.1,Grape,4
100,SANTA CLARA,Burbon,0.1,Grape,4
101,EL VENDAVAL,Catuai,0.1,Grape,4
102,SUMAVA ESPRESSO,Caturra,0.1,Grape,4
103,LA HUERTA,"Burbon, Caturra",0.1,Grape,4
104,KII PEABERRY,"SL28, SL24",0.1,Grape,4
105,LUITO GESHA,Gesha,0.1,Grape,4
106,EVELIA MARIA HONEY GESHA,Gesha,0.1,Grape,4
107,ELIDA ESTATE GREEN TIP GESHA,Gesha,0.1,Grape,4
108,Meaza,Ethiopia Heirloom,0.1,Grape,4
109,Bella Aurora,Caturra,0.1,Grape,4
110,EL ESCOBERO AUCTION LOT,Caturra,0.1,Grape,4
111,Kilenso,Ethiopia Heirloom,10,Grape,4
112,Mr. David Mburu,"Ruiru 11, SL 28, SL 34",0.1,Grape,4
113,Finca Las Terrazas,"San Ramon, Bourbon, Caturra",0.1,Grape,4
114,David Mancia,"Pacas, Catimor",0.1,Grape,4
115,Benjamin Miranda,Pacas,0.1,Grape,4
116,Duncan Estate,Gesha,0.1,Grape,4
117,Addisu Kidane,Ethiopia Heirloom,0.1,Grape,4
118,Shilcho,Ethiopia Heirloom,0.1,Grape,4
119,Los Vascos,"Bourbon, caturra, catimor",0.1,Grape,4
120,MONTEBLANCO BOURBON ROSA,Burbon Rosa,7,Tropical Fruit,5
