,Name,Variety,Value,Note,Note_Ind
414,SUMAVA ESPRESSO,Caturra,0.1,Earthy,17
415,LA HUERTA,"Burbon, Caturra",0.1,Earthy,17
416,KII PEABERRY,"SL28, SL24",0.1,Earthy,17
417,LUITO GESHA,Gesha,0.1,Earthy,17
418,EVELIA MARIA HONEY GESHA,Gesha,0.1,Earthy,17
419,ELIDA ESTATE GREEN TIP GESHA,Gesha,0.1,Earthy,17
420,Meaza,Ethiopia Heirloom,5,Earthy,17
421,Bella Aurora,Caturra,5,Earthy,17
422,EL ESCOBERO AUCTION LOT,Caturra,0.1,Earthy,17
423,Kilenso,Ethiopia Heirloom,0.1,Earthy,17
424,Mr. David Mburu,"Ruiru 11, SL 28, SL 34",0.1,Earthy,17
425,Finca Las Terrazas,"San Ramon, Bourbon, Caturra",0.1,Earthy,17
426,David Mancia,"Pacas, Catimor",0.1,Earthy,17
427,Benjamin Miranda,Pacas,0.1,Earthy,17
428,Duncan Estate,Gesha,0.1,Earthy,17
429,Addisu Kidane,Ethiopia Heirloom,0.1,Earthy,17
430,Shilcho,Ethiopia Heirloom,0.1,Earthy,17
431,Los Vascos,"Bourbon, caturra, catimor",0.1,Earthy,17
432,MONTEBLANCO BOURBON ROSA,Burbon Rosa,0.1,Vegetal,18
433,HUNAPU,Burbon,0.1,Vegetal,18
434,EL LIMONCILLO YELLOW PACAMARA,Yellow Pacamara,0.1,Vegetal,18
435,MERSHA ASSEFA,Ethiopia Heirloom,0.1,Vegetal,18
436,SANTA CLARA,Burbon,0.1,Vegetal,18
437,EL VENDAVAL,Catuai,0.1,Vegetal,18
438,SUMAVA ESPRESSO,Caturra,0.1,Vegetal,18
439,LA HUERTA,"Burbon, Caturra",0.1,Vegetal,18
440,KII PEABERRY,"SL28, SL24",0.1,Vegetal,18
441,LUITO GESHA,Gesha,0.1,Vegetal,18
442,EVELIA MARIA HONEY GESHA,Gesha,0.1,Vegetal,18
443,ELIDA ESTATE GREEN TIP GESHA,Gesha,0.1,Vegetal,18
444,Meaza,Ethiopia Heirloom,5,Vegetal,18
445,Bella Aurora,Caturra,0.1,Vegetal,18
446,EL ESCOBERO AUCTION LOT,Caturra,0.1,Vegetal,18
447,Kilenso,Ethiopia Heirloom,0.1,Vegetal,18
448,Mr. David Mburu,"Ruiru 11, SL 28, SL 34",7,Vegetal,18
449,Finca Las Terrazas,"San Ramon, Bourbon, Caturra",0.1,Vegetal,18
450,David Mancia,"Pacas, Catimor",0.1,Vegetal,18
451,Benjamin Miranda,Pacas,0.1,Vegetal,18
452,Duncan Estate,Gesha,0.1,Vegetal,18
453,Addisu Kidane,Ethiopia Heirloom,0.1,Vegetal,18
454,Shilcho,Ethiopia Heirloom,5,Vegetal,18
455,Los Vascos,"Bourbon, caturra, catimor",0.1,Vegetal,18
